t,x,y
5.984203612,-0.0005800369553961926,7.177320046822407e-05
5.994256112,-0.0005800367687824968,7.17731188750524e-05
6.004226605,-0.000580036602026263,7.177309123680936e-05
6.014201661,-0.0005800361372980843,7.177291957997825e-05
6.024288399,-0.0005800358308121513,7.177281412105584e-05
6.034171778,-0.0005800357288230033,7.177279065199039e-05
6.04425678,-0.0005800357859664157,7.177284066241327e-05
6.054450576,-0.0005800360716924011,7.177298208036918e-05
6.064601338,-0.0005800359161444646,7.17728956885677e-05
6.074795778,-0.0005800357062029447,7.177280988554242e-05
6.084868039,-0.0005800354318146253,7.177271046259403e-05
6.095007184,-0.0005800355050486631,7.177276174512694e-05
6.105203389,-0.0005800354985130169,7.17727527807866e-05
6.115328836,-0.0005800354784467974,7.177273818738698e-05
6.125430103,-0.0005800354547628433,7.177273021009758e-05
6.135585146,-0.0005800357133498172,7.177286044628248e-05
6.145655976,-0.0005800358316561567,7.177292896356417e-05
6.155799443,-0.0005800356453374454,7.177284587050591e-05
6.165982236,-0.0005800356383663949,7.177284035478934e-05
6.176093354,-0.000580035950468699,7.177297735338106e-05
6.186109557,-0.0005800358081798724,7.177289339151864e-05
6.196204307,-0.0005800354781504494,7.177273520539147e-05
6.206232204,-0.0005800350377768116,7.177255703616904e-05
6.216231873,-0.0005800351192957092,7.177260735293628e-05
6.226231051,-0.0005800345945321797,7.177237574255437e-05
6.236186317,-0.0005800348291963124,7.177249586670241e-05
6.246197789,-0.000580034638022601,7.177240937569947e-05
6.256206321,-0.0005800346633431279,7.177240442436065e-05
6.266213118,-0.0005800343264494084,7.177224804651508e-05
6.276527777,-0.0005800341580431412,7.177216575529719e-05
6.286720246,-0.0005800340030017335,7.17720881644973e-05
6.296831809,-0.0005800336951025413,7.177194094470994e-05
6.306921149,-0.0005800336866323003,7.177193109719673e-05
6.316999712,-0.0005800334925036262,7.177185345045049e-05
6.327055329,-0.0005800335492655868,7.177185693045497e-05
6.337199085,-0.0005800338980644438,7.177199785268653e-05
6.347271476,-0.0005800340073278563,7.177201090481622e-05
6.35721181,-0.0005800341328898633,7.177202773036347e-05
6.367216027,-0.0005800337264734055,7.177181956059559e-05
6.377212696,-0.0005800332963313984,7.177161351046182e-05
6.387235172,-0.0005800329693066378,7.177146992135095e-05
6.397240039,-0.0005800337373784593,7.17718097692035e-05
6.407230214,-0.0005800338739613371,7.177183182517795e-05
6.417259664,-0.0005800345165701739,7.177207244347212e-05
6.427212988,-0.0005800344129108211,7.177196113097861e-05
